item_no,Category,Beverage,Prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium_(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A(% DV),Vitamin_C(% DV),Calcium(% DV),Iron(% DV),Caffeine(mg)
1001,Coffee,Brewed Coffee,Short,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0,0,0,0,175
1002,Coffee,Brewed Coffee,Tall,4,0.1,0.0,0.0,0,10,0,0,0,0.5,0,0,0,0,260
1003,Coffee,Brewed Coffee,Grande,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0,0,0,0,330
1004,Coffee,Brewed Coffee,Venti,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0,0,2,0,410
1005,Classic Espresso Drinks,Caffè Latte,Short Nonfat Milk,70,0.1,0.1,0.0,5,75,10,0,9,6.0,10,0,20,0,75
1006,Classic Espresso Drinks,Caffè Latte,Short 2% Milk,100,3.5,2.0,0.1,15,85,10,0,9,6.0,10,0,20,0,75
1007,Classic Espresso Drinks,Caffè Latte,Short Soymilk,70,2.5,0.4,0.0,0,65,6,1,4,5.0,6,0,20,8,75
1008,Classic Espresso Drinks,Caffè Latte,Tall Nonfat Milk,100,0.2,0.2,0.0,5,120,15,0,14,10.0,15,0,30,0,75
1009,Classic Espresso Drinks,Caffè Latte,Tall 2% Milk,150,6.0,3.0,0.2,25,135,15,0,14,10.0,15,0,30,0,75
1010,Classic Espresso Drinks,Caffè Latte,Tall Soymilk,110,4.5,0.5,0.0,0,105,10,1,6,8.0,10,0,30,15,75
1011,Classic Espresso Drinks,Caffè Latte,Grande Nonfat Milk,130,0.3,0.2,0.0,5,150,19,0,18,13.0,20,0,40,0,150
1012,Classic Espresso Drinks,Caffè Latte,Grande 2% Milk,190,7.0,3.5,0.2,30,170,19,0,17,12.0,20,2,40,0,150
1013,Classic Espresso Drinks,Caffè Latte,Grande Soymilk,150,5.0,0.5,0.0,0,130,13,1,8,10.0,15,0,40,15,150
1014,Classic Espresso Drinks,Caffè Latte,Venti Nonfat Milk,170,0.4,0.3,0.0,10,190,25,0,23,16.0,30,0,50,0,150
1015,Classic Espresso Drinks,Caffè Latte,Venti 2% Milk,240,9.0,4.5,0.3,35,220,24,0,22,16.0,25,2,50,0,150
1016,Classic Espresso Drinks,Caffè Latte,Venti Soymilk,190,7.0,1.0,0.0,0,170,16,2,11,13.0,20,0,50,25,150
1017,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short Nonfat Milk,110,1.5,1.0,0.0,5,60,21,1,17,7.0,8,0,15,10,85
1018,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short 2% Milk,130,4.0,2.0,0.1,10,70,21,1,17,6.0,8,0,15,10,85
1019,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short Soymilk,110,3.5,1.0,0.0,0,55,19,2,13,6.0,6,0,15,20,85
1020,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall Nonfat Milk,170,2.0,1.0,0.0,5,100,32,1,27,10.0,15,0,25,20,95
1021,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall 2% Milk,200,6.0,3.5,0.1,20,115,32,1,26,10.0,15,0,25,20,95
1022,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall Soymilk,180,5.0,1.5,0.0,0,85,28,2,20,9.0,10,0,25,30,95
1023,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande Nonfat Milk,220,2.5,1.5,0.0,5,125,43,2,34,13.0,20,0,35,25,175
1024,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande 2% Milk,260,8.0,4.5,0.2,25,140,42,2,34,13.0,15,2,35,25,175
1025,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande Soymilk,230,7.0,2.0,0.0,0,105,37,3,26,11.0,10,0,35,40,175
