item_no,Name,Calories,Fat(g),Carb(g),Fiber(g),Protein(g)
2001,Chonga Bagel,300,5.0,50,3,12
2002,8-Grain Roll,380,6.0,70,7,10
2003,Almond Croissant,410,22.0,45,3,10
2004,Apple Fritter,460,23.0,56,2,7
2005,Banana Nut Bread,420,22.0,52,2,6
2006,Blueberry Muffin with Yogurt and Honey,380,16.0,53,1,6
2007,Blueberry Scone,420,17.0,61,2,5
2008,Butter Croissant,240,12.0,28,1,5
2009,Butterfly Cookie,350,22.0,38,0,2
2010,Cheese Danish,320,16.0,36,1,8
2011,Chewy Chocolate Cookie,170,5.0,30,2,2
2012,Chocolate Chip Cookie,310,15.0,42,2,4
2013,Chocolate Chunk Muffin,440,21.0,60,2,7
2014,Chocolate Croissant,330,18.0,38,1,6
2015,Chocolate Hazelnut Croissant,390,22.0,43,2,7
2016,Chocolate Marble Loaf Cake,490,24.0,64,2,6
2017,Cinnamon Morning Bun,390,15.0,56,2,8
2018,Cinnamon Raisin Bagel,270,1.0,58,3,9
2019,Classic Coffee Cake,390,16.0,57,1,5
2020,Cookie Butter Bar,360,23.0,36,0,2
2021,Cranberry Orange Scone,420,15.0,64,1,6
2022,Devil's Food Doughnut,430,23.0,53,2,5
2023,Double Chocolate Brownie,410,24.0,46,3,6
2024,Double Chocolate Chunk Brownie,490,28.0,55,3,7
2025,Double Chocolate Loaf Cake,440,23.0,54,3,5
2026,Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0,3
2027,Everything Bagel with Cheese,290,3.5,53,2,11
2028,Frappuccino® Cookie Straw,90,3.0,14,0,1
2029,French Toast - Bantam Bagels (2 Pack),200,8.0,30,0,6
2030,Gluten-Free Marshmallow Dream Bar,240,5.0,45,0,2
2031,Ice Cream Cone Sugar Cookie,250,14.0,29,1,3
2032,Iced Lemon Pound Cake,470,20.0,68,1,6
2033,Michigan Cherry Oat Bar,310,10.0,47,2,3
2034,Multigrain Bagel,350,4.0,64,8,17
2035,Oatmeal Cookie,290,12.0,40,3,5
2036,Octopus Cookie,330,18.0,39,1,3
2037,Old-Fashioned Glazed Doughnut,480,27.0,56,1,5
2038,Peanut butter cup cookie,360,21.0,36,3,8
2039,Pecan Tart,330,18.0,39,1,4
2040,Petite Vanilla Bean Scone,120,4.5,18,0,2
2041,Plain Bagel,280,1.5,56,2,9
2042,Pumpkin Bread,410,15.0,63,2,6
2043,Raspberry Swirl Loaf Cake,420,17.0,61,1,6
2044,Raspberry Whoopie Pie,360,18.0,45,1,3
2045,Reduced-Fat Cinnamon Swirl Coffee Cake,370,9.0,67,2,5
2046,S'mores Bar,330,17.0,44,1,2
2047,S'mores Bar Multipack,330,17.0,44,1,2
2048,Sprouted Grain Vegan Bagel,330,6.0,57,7,12
2049,Strawberry Cake Pop,180,9.0,23,0,2
2050,The Classic - Bantam Bagels (2 Pack),200,8.0,28,0,6
2051,Toffeedoodle,300,13.0,44,1,3
2052,Vanilla Bean Whoopie Pie,360,18.0,45,1,3
2053,Vermont Maple Walnut Muffin,390,21.0,45,2,6
2054,Volpi™ Pepperoni & Tomato Savory Foldover,270,14.0,27,2,10
2055,Strawberries & Jam Sandwich,600,25.0,80,10,19
2056,Burrata & Basil Pesto Small Sandwich,300,14.0,34,2,11
2057,Cage-Free Eggs & Seasoned Grains Side Salad,360,18.0,33,3,17
2058,Cauliflower Tabbouleh Side Salad,130,12.0,7,3,2
2059,Cubano Sandwich,430,23.0,34,3,21
2060,Farmers' Market Protein Box,470,29.0,29,4,21
