item_no,Name,Calories,Fat(g),Carb(g),Fiber(g),Protein(g)
1001,Brewed Coffee,3,0.1,5,0,0.3
1002,Brewed Coffee,4,0.1,10,0,0.5
1003,Brewed Coffee,5,0.1,10,0,1.0
1004,Brewed Coffee,5,0.1,10,0,1.0
1005,Caffè Latte,70,0.1,75,0,6.0
1006,Caffè Latte,100,3.5,85,0,6.0
1007,Caffè Latte,70,2.5,65,1,5.0
1008,Caffè Latte,100,0.2,120,0,10.0
1009,Caffè Latte,150,6.0,135,0,10.0
1010,Caffè Latte,110,4.5,105,1,8.0
1011,Caffè Latte,130,0.3,150,0,13.0
1012,Caffè Latte,190,7.0,170,0,12.0
1013,Caffè Latte,150,5.0,130,1,10.0
1014,Caffè Latte,170,0.4,190,0,16.0
1015,Caffè Latte,240,9.0,220,0,16.0
1016,Caffè Latte,190,7.0,170,2,13.0
1017,Caffè Mocha (Without Whipped Cream),110,1.5,60,1,7.0
1018,Caffè Mocha (Without Whipped Cream),130,4.0,70,1,6.0
1019,Caffè Mocha (Without Whipped Cream),110,3.5,55,2,6.0
1020,Caffè Mocha (Without Whipped Cream),170,2.0,100,1,10.0
1021,Caffè Mocha (Without Whipped Cream),200,6.0,115,1,10.0
1022,Caffè Mocha (Without Whipped Cream),180,5.0,85,2,9.0
1023,Caffè Mocha (Without Whipped Cream),220,2.5,125,2,13.0
1024,Caffè Mocha (Without Whipped Cream),260,8.0,140,2,13.0
1025,Caffè Mocha (Without Whipped Cream),230,7.0,105,3,11.0
1026,Caffè Mocha (Without Whipped Cream),280,3.0,160,2,17.0
1027,Caffè Mocha (Without Whipped Cream),340,11.0,180,2,17.0
1028,Caffè Mocha (Without Whipped Cream),290,9.0,140,4,14.0
1029,Vanilla Latte (Or Other Flavoured Latte),100,0.1,70,0,6.0
1030,Vanilla Latte (Or Other Flavoured Latte),130,3.5,80,0,6.0
1031,Vanilla Latte (Or Other Flavoured Latte),110,2.5,60,1,5.0
1032,Vanilla Latte (Or Other Flavoured Latte),150,0.2,110,0,9.0
1033,Vanilla Latte (Or Other Flavoured Latte),200,5.0,125,0,9.0
1034,Vanilla Latte (Or Other Flavoured Latte),160,4.0,95,1,7.0
1035,Vanilla Latte (Or Other Flavoured Latte),200,0.3,140,0,12.0
1036,Vanilla Latte (Or Other Flavoured Latte),250,6.0,150,0,12.0
1037,Vanilla Latte (Or Other Flavoured Latte),210,5.0,120,1,9.0
1038,Vanilla Latte (Or Other Flavoured Latte),250,0.3,180,0,15.0
1039,Vanilla Latte (Or Other Flavoured Latte),320,9.0,200,0,15.0
1040,Vanilla Latte (Or Other Flavoured Latte),270,7.0,160,2,12.0
1041,Caffè Americano,5,0.0,5,0,0.4
1042,Caffè Americano,10,0.0,10,0,1.0
1043,Caffè Americano,15,0.0,15,0,1.0
1044,Caffè Americano,25,0.0,15,0,1.0
1045,Cappuccino,50,0.1,60,0,5.0
1046,Cappuccino,80,3.0,70,0,5.0
1047,Cappuccino,50,1.5,40,0,3.0
1048,Cappuccino,60,0.1,70,0,6.0
1049,Cappuccino,90,3.5,80,0,6.0
1050,Cappuccino,70,3.0,65,1,5.0
1051,Cappuccino,80,0.2,90,0,8.0
1052,Cappuccino,120,4.0,100,0,8.0
1053,Cappuccino,100,3.5,80,1,7.0
1054,Cappuccino,110,0.2,120,0,10.0
1055,Cappuccino,150,6.0,135,0,10.0
1056,Cappuccino,120,4.5,110,1,9.0
1057,Espresso,5,0.0,0,0,0.4
1058,Espresso,10,0.0,1,0,1.0
1059,Skinny Latte (Any Flavour),60,0.1,80,0,6.0
1060,Skinny Latte (Any Flavour),100,0.2,125,0,9.0
1061,Skinny Latte (Any Flavour),120,0.3,160,0,12.0
1062,Skinny Latte (Any Flavour),160,0.3,200,0,15.0
1063,Caramel Macchiato,100,1.0,70,0,6.0
1064,Caramel Macchiato,120,4.0,80,0,5.0
1065,Caramel Macchiato,100,3.0,60,1,4.0
1066,Caramel Macchiato,140,1.0,105,0,8.0
1067,Caramel Macchiato,180,5.0,115,0,8.0
1068,Caramel Macchiato,150,4.5,90,1,7.0
1069,Caramel Macchiato,190,1.0,130,0,11.0
1070,Caramel Macchiato,240,7.0,150,0,10.0
1071,Caramel Macchiato,200,5.0,115,1,9.0
1072,Caramel Macchiato,240,1.0,170,0,13.0
1073,Caramel Macchiato,300,8.0,180,0,13.0
1074,Caramel Macchiato,250,7.0,140,1,11.0
1075,White Chocolate Mocha (Without Whipped Cream),180,3.0,120,0,7.0
1076,White Chocolate Mocha (Without Whipped Cream),200,6.0,125,0,7.0
1077,White Chocolate Mocha (Without Whipped Cream),180,5.0,110,1,6.0
1078,White Chocolate Mocha (Without Whipped Cream),270,4.5,190,0,12.0
1079,White Chocolate Mocha (Without Whipped Cream),310,9.0,200,0,11.0
1080,White Chocolate Mocha (Without Whipped Cream),280,8.0,170,1,10.0
1081,White Chocolate Mocha (Without Whipped Cream),350,6.0,240,0,15.0
1082,White Chocolate Mocha (Without Whipped Cream),400,11.0,250,0,15.0
1083,White Chocolate Mocha (Without Whipped Cream),370,10.0,220,1,13.0
1084,White Chocolate Mocha (Without Whipped Cream),450,7.0,310,0,19.0
1085,White Chocolate Mocha (Without Whipped Cream),510,15.0,330,0,19.0
1086,White Chocolate Mocha (Without Whipped Cream),460,13.0,290,1,16.0
1087,Hot Chocolate (Without Whipped Cream),130,1.5,70,1,7.0
1088,Hot Chocolate (Without Whipped Cream),150,4.5,80,1,7.0
1089,Hot Chocolate (Without Whipped Cream),130,3.5,60,2,6.0
1090,Hot Chocolate (Without Whipped Cream),190,2.0,110,1,11.0
1091,Hot Chocolate (Without Whipped Cream),230,7.0,120,1,10.0
1092,Hot Chocolate (Without Whipped Cream),200,6.0,95,2,9.0
1093,Hot Chocolate (Without Whipped Cream),240,2.5,140,2,14.0
1094,Hot Chocolate (Without Whipped Cream),290,9.0,160,2,14.0
1095,Hot Chocolate (Without Whipped Cream),250,7.0,125,3,12.0
1096,Hot Chocolate (Without Whipped Cream),320,3.0,180,2,18.0
1097,Hot Chocolate (Without Whipped Cream),380,11.0,200,2,17.0
1098,Hot Chocolate (Without Whipped Cream),330,9.0,160,4,15.0
1099,Caramel Apple Spice (Without Whipped Cream),140,0.0,10,0,0.0
1100,Caramel Apple Spice (Without Whipped Cream),210,0.0,15,0,0.0
1101,Caramel Apple Spice (Without Whipped Cream),280,0.0,20,0,0.0
1102,Caramel Apple Spice (Without Whipped Cream),360,0.0,25,0,0.0
1103,Tazo® Tea,0,0.0,0,0,0.0
1104,Tazo® Tea,0,0.0,0,0,0.0
1105,Tazo® Tea,0,0.0,0,0,0.0
1106,Tazo® Tea,0,0.0,0,0,0.0
1107,Tazo® Chai Tea Latte,100,0.1,50,0,4.0
1108,Tazo® Chai Tea Latte,120,2.0,55,0,4.0
1109,Tazo® Chai Tea Latte,110,1.5,45,0,3.0
1110,Tazo® Chai Tea Latte,160,0.2,80,0,6.0
1111,Tazo® Chai Tea Latte,190,3.5,90,0,6.0
1112,Tazo® Chai Tea Latte,160,2.5,70,1,5.0
1113,Tazo® Chai Tea Latte,210,0.2,105,0,8.0
1114,Tazo® Chai Tea Latte,240,4.5,115,0,8.0
1115,Tazo® Chai Tea Latte,220,3.5,90,1,6.0
1116,Tazo® Chai Tea Latte,260,0.3,135,0,10.0
1117,Tazo® Chai Tea Latte,310,6.0,150,0,10.0
1118,Tazo® Chai Tea Latte,280,4.5,115,1,8.0
1119,Tazo® Green Tea Latte,130,0.2,85,0,7.0
1120,Tazo® Green Tea Latte,170,4.0,95,0,7.0
1121,Tazo® Green Tea Latte,140,3.0,70,1,6.0
1122,Tazo® Green Tea Latte,210,0.4,125,1,11.0
1123,Tazo® Green Tea Latte,260,6.0,140,1,10.0
1124,Tazo® Green Tea Latte,230,4.5,110,2,9.0
1125,Tazo® Green Tea Latte,290,0.5,160,1,14.0
1126,Tazo® Green Tea Latte,350,8.0,180,1,14.0
1127,Tazo® Green Tea Latte,310,6.0,140,3,11.0
1128,Tazo® Green Tea Latte,370,0.5,200,2,18.0
1129,Tazo® Green Tea Latte,450,10.0,230,2,17.0
1130,Tazo® Green Tea Latte,390,8.0,180,4,14.0
