item_no,Category,Beverage,Prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium_(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A(% DV),Vitamin_C(% DV),Calcium(% DV),Iron(% DV),Caffeine(mg)
1173,Smoothies,Banana Chocolate Smoothie,Grande Nonfat Milk,280,2.5,1.5,0.0,5,150,53,7,34,20.0,10,15,20,0,Varies
1174,Smoothies,Banana Chocolate Smoothie,2% Milk,300,5.0,2.5,0.1,15,160,53,7,34,20.0,8,15,20,20,15
1175,Smoothies,Banana Chocolate Smoothie,Soymilk,290,4.5,1.5,0.0,5,150,51,7,31,19.0,6,15,20,20,15
1176,Smoothies,Orange Mango Banana Smoothie,Grande Nonfat Milk,260,1.0,0.3,0.0,5,120,54,6,37,16.0,50,80,10,30,15
1177,Smoothies,Orange Mango Banana Smoothie,2% Milk,270,1.5,0.5,0.0,5,125,53,6,37,16.0,50,80,10,6,0
1178,Smoothies,Orange Mango Banana Smoothie,Soymilk,270,1.5,0.4,0.0,5,120,53,6,36,15.0,50,80,10,6,0
1179,Smoothies,Strawberry Banana Smoothie,Grande Nonfat Milk,290,1.0,0.3,0.0,5,125,58,7,41,16.0,4,100,10,8,0
1180,Smoothies,Strawberry Banana Smoothie,2% Milk,290,2.0,1.0,0.0,5,125,58,7,41,16.0,4,100,10,8,0
1181,Smoothies,Strawberry Banana Smoothie,Soymilk,290,2.0,0.4,0.0,5,120,58,8,40,16.0,2,100,10,8,0
1230,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,6,6,10,2,0
1231,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Whole Milk,190,3.0,1.5,0.1,10,140,38,0,37,3.0,4,6,10,2,0
1232,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Soymilk,170,1.5,0.2,0.0,0,135,37,1,35,3.0,4,6,10,6,0
1233,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,8,6,15,4,0
1234,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Whole Milk,260,4.0,2.0,0.1,10,190,53,0,52,4.0,6,6,15,4,0
1235,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Soymilk,240,2.0,0.2,0.0,0,180,51,1,49,3.0,4,6,15,8,0
1236,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,10,8,20,4,0
1237,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Whole Milk,350,6.0,3.0,0.2,15,260,70,0,68,6.0,8,8,20,4,0
1238,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Soymilk,320,3.2,0.4,0.0,0,250,67,1,64,5.0,6,8,20,10,0
1239,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,6,0,10,0,0
1240,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Whole Milk,200,3.5,2.0,0.1,10,160,39,0,38,3.0,6,0,10,0,0
1241,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Soymilk,180,1.5,0.2,0.0,0,160,37,1,35,3.0,4,0,10,6,0
1242,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,8,0,15,0,0
