item_no,Category,Beverage,Prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium_(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A(% DV),Vitamin_C(% DV),Calcium(% DV),Iron(% DV),Caffeine(mg)
1103,Tazo® Tea Drinks,Tazo® Tea,Short,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,Varies
1104,Tazo® Tea Drinks,Tazo® Tea,Tall,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,Varies
1105,Tazo® Tea Drinks,Tazo® Tea,Grande,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,Varies
1106,Tazo® Tea Drinks,Tazo® Tea,Venti,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,Varies
1107,Tazo® Tea Drinks,Tazo® Chai Tea Latte,Short Nonfat Milk,100,0.1,0.1,0.0,0,50,22,0,21,4.0,6,0,10,0,50
1108,Tazo® Tea Drinks,Tazo® Chai Tea Latte,Short 2% Milk,120,2.0,1.0,0.1,10,55,22,0,21,4.0,6,0,10,0,50
1109,Tazo® Tea Drinks,Tazo® Chai Tea Latte,Short Soymilk,110,1.5,0.2,0.0,0,45,20,0,18,3.0,4,0,10,6,50
1110,Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tall Nonfat Milk,160,0.2,0.1,0.0,5,80,34,0,32,6.0,10,0,20,2,70
1111,Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tall 2% Milk,190,3.5,1.5,0.1,15,90,34,0,32,6.0,10,0,20,2,70
1112,Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tall Soymilk,160,2.5,0.3,0.0,0,70,31,1,28,5.0,6,0,20,10,70
1113,Tazo® Tea Drinks,Tazo® Chai Tea Latte,Grande Nonfat Milk,210,0.2,0.1,0.0,5,105,45,0,43,8.0,15,0,25,2,95
